"symbol","name","slug","atomicNumber","group","period","groupBlock","yearDiscovered","electronConfigurationCore","electronConfigurationDisplay","standardState","atomicMass","electronegativity","atomicRadius","meltingPoint","boilingPoint","density","isAncient"
"H","Hydrogen","hydrogen",1,1,1,"nonmetal",1766,"","1s¹","gas",1.0078,2.2,120,13.81,20.28,8.988e-05,FALSE
"He","Helium","helium",2,18,1,"noble gas",1868,"","1s²","gas",4.0026,0,140,0.95,4.22,0.0001785,FALSE
"Li","Lithium","lithium",3,1,2,"alkali metal",1817,"He","[He]2s¹","solid",7,0.98,182,453.65,1615,0.534,FALSE
"Be","Beryllium","beryllium",4,2,2,"alkaline earth metal",1798,"He","[He]2s²","solid",9.012183,1.57,153,1560,2744,1.85,FALSE
"B","Boron","boron",5,13,2,"metalloid",1808,"He","[He]2s² 2p¹","solid",10.81,2.04,192,2348,4273,2.37,FALSE
"C","Carbon","carbon",6,14,2,"nonmetal",-3000,"He","[He]2s² 2p²","solid",12.011,2.55,170,3823,4098,2.267,TRUE
"N","Nitrogen","nitrogen",7,15,2,"nonmetal",1772,"He","[He]2s² 2p³","gas",14.007,3.04,155,63.15,77.36,0.0012506,FALSE
"O","Oxygen","oxygen",8,16,2,"nonmetal",1774,"He","[He]2s² 2p⁴","gas",15.999,3.44,152,54.36,90.2,0.001429,FALSE
"F","Fluorine","fluorine",9,17,2,"halogen",1670,"He","[He]2s² 2p⁵","gas",18.99840316,3.98,135,53.53,85.03,0.001696,FALSE
"Ne","Neon","neon",10,18,2,"noble gas",1898,"He","[He]2s² 2p⁶","gas",20.18,0,154,24.56,27.07,0.0008999,FALSE
"Na","Sodium","sodium",11,1,3,"alkali metal",1807,"Ne","[Ne]3s¹","solid",22.9897693,0.93,227,370.95,1156,0.97,FALSE
"Mg","Magnesium","magnesium",12,2,3,"alkaline earth metal",1808,"Ne","[Ne]3s²","solid",24.305,1.31,173,923,1363,1.74,FALSE
"Al","Aluminum","aluminum",13,13,3,"post-transition metal",-3000,"Ne","[Ne]3s² 3p¹","solid",26.981538,1.61,184,933.437,2792,2.7,TRUE
"Si","Silicon","silicon",14,14,3,"metalloid",1854,"Ne","[Ne]3s² 3p²","solid",28.085,1.9,210,1687,3538,2.3296,FALSE
"P","Phosphorus","phosphorus",15,15,3,"nonmetal",1669,"Ne","[Ne]3s² 3p³","solid",30.973762,2.19,180,317.3,553.65,1.82,FALSE
"S","Sulfur","sulfur",16,16,3,"nonmetal",-3000,"Ne","[Ne]3s² 3p⁴","solid",32.07,2.58,180,388.36,717.75,2.067,TRUE
"Cl","Chlorine","chlorine",17,17,3,"halogen",1774,"Ne","[Ne]3s² 3p⁵","gas",35.45,3.16,175,171.65,239.11,0.003214,FALSE
"Ar","Argon","argon",18,18,3,"noble gas",1894,"Ne","[Ne]3s² 3p⁶","gas",39.9,0,188,83.8,87.3,0.0017837,FALSE
"K","Potassium","potassium",19,1,4,"alkali metal",1807,"Ar","[Ar]4s¹","solid",39.0983,0.82,275,336.53,1032,0.89,FALSE
"Ca","Calcium","calcium",20,2,4,"alkaline earth metal",-3000,"Ar","[Ar]4s²","solid",40.08,1,231,1115,1757,1.54,TRUE
"Sc","Scandium","scandium",21,3,4,"transition metal",1879,"Ar","[Ar]4s² 3d¹","solid",44.95591,1.36,211,1814,3109,2.99,FALSE
"Ti","Titanium","titanium",22,4,4,"transition metal",1791,"Ar","[Ar]4s² 3d²","solid",47.867,1.54,187,1941,3560,4.5,FALSE
"V","Vanadium","vanadium",23,5,4,"transition metal",1801,"Ar","[Ar]4s² 3d³","solid",50.9415,1.63,179,2183,3680,6,FALSE
"Cr","Chromium","chromium",24,6,4,"transition metal",1797,"Ar","[Ar]3d⁵ 4s¹","solid",51.996,1.66,189,2180,2944,7.15,FALSE
"Mn","Manganese","manganese",25,7,4,"transition metal",1774,"Ar","[Ar]4s² 3d⁵","solid",54.93804,1.55,197,1519,2334,7.3,FALSE
"Fe","Iron","iron",26,8,4,"transition metal",-3000,"Ar","[Ar]4s² 3d⁶","solid",55.84,1.83,194,1811,3134,7.874,TRUE
